Manufacturer,Model Name,Device Name,Model Code,GPU,Form Factor,System on Chip,Total MEM,ABIs,OpenGL ES Versions,SDK
Symphony,Symphony_Z50,Symphony Z50,Symphony_Z50,Mali-T880MP2,Phone,Mediatek MT6757,3852MB,arm64-v8a;armeabi;armeabi-v7a,3.2,28
Symphony, Symphony_Z12 ,Symphony_Z12,Symphony_Z12,PowerVR Rogue GE8322,Phone,Spreadtrum SC9863A,1819MB,arm64-v8a;armeabi;armeabi-v7a,3.2,28
Symphony,i97,i97,i97,PowerVR Rogue GE8322,Phone,Spreadtrum SC9863A,1819MB,arm64-v8a;armeabi;armeabi-v7a,3.2,28
Symphony,Z28,Z28,Z28,PowerVR Rogue GE8320,Phone,Mediatek MT6762d,2823MB,armeabi;armeabi-v7a,3.2,29
Symphony,Symphony_Z9,Symphony Z9,Z9,Mali-T860MP2,Phone,Mediatek MT6750T,2807MB,arm64-v8a;armeabi;armeabi-v7a,3.2,24
Symphony,Z30,Z30,Z30,PowerVR Rogue GE8320,Phone,Mediatek MT6762d,2822MB,armeabi;armeabi-v7a,3.2,29
Symphony,Z15,Z15,Z15,PowerVR Rogue GE8322,Phone,Spreadtrum SC9863A,1819MB,arm64-v8a;armeabi;armeabi-v7a,3.2,28
TAG-DC,TAG-DC,TAG-DC,TAG-DC,PowerVR Rogue GE8322,Tablet,Spreadtrum SC9863A,3832MB,arm64-v8a;armeabi;armeabi-v7a,3.2,28
TCL,TCL 10 Pro,T799H,T1_PRO,Adreno (TM) 612,Phone,Qualcomm SM6150,1494-1495MB,arm64-v8a;armeabi;armeabi-v7a,3.2,29
TCL,TCL L9S,5007G,Tokyo_Lite,PowerVR Rogue GE8320,Phone,Mediatek MT6762d,1826MB,armeabi;armeabi-v7a,3.2,29
TCL,TCL 10 Pro,T799B,T1_PRO,Adreno (TM) 612,Phone,Qualcomm SM6150,1494-1495MB,arm64-v8a;armeabi;armeabi-v7a,3.2,29
TCL,TCL L10+,5030D_EEA,Jakarta,PowerVR Rogue GE8322,Phone,Spreadtrum SC9863A,2770-3778MB,arm64-v8a;armeabi;armeabi-v7a,3.2,29
TCL,TCL L9S,HEYOU40,Tokyo_Lite,PowerVR Rogue GE8320,Phone,Mediatek MT6762d,1826MB,armeabi;armeabi-v7a,3.2,29
TCL,Smartphone,5086A,A5A_INFINI,Mali-T860MP2,Phone,Mediatek MT6750,1830-2837MB,arm64-v8a;armeabi;armeabi-v7a,3.2,24
TCL,TCL T Pro,5061U,Milan,PowerVR Rogue GE8320,Phone,Mediatek MT6762,3812MB,arm64-v8a;armeabi;armeabi-v7a,3.2,29
TCL,Smartphone,5086D,A5A_INFINI,Mali-T860MP2,Phone,Mediatek MT6750,1830-2837MB,arm64-v8a;armeabi;armeabi-v7a,3.2,24
TCL,TCL L9S,5007U_EEA,Tokyo_Lite,PowerVR Rogue GE8320,Phone,Mediatek MT6762d,1826MB,armeabi;armeabi-v7a,3.2,29
TCL,TCL PLEX,T780H,T1,Adreno (TM) 612,Phone,Qualcomm SM6150,1494-1542MB,arm64-v8a;armeabi;armeabi-v7a,3.2,28;29
TCL,Smartphone,5086Y,A5A_INFINI,Mali-T860MP2,Phone,Mediatek MT6750,1830-2837MB,arm64-v8a;armeabi;armeabi-v7a,3.2,24
TCL,TCL T Pro,5061K_EEA,Milan,PowerVR Rogue GE8320,Phone,Mediatek MT6762,3812MB,arm64-v8a;armeabi;armeabi-v7a,3.2,29
TCL,TCL 10L,T770H,T1_LITE,Adreno (TM) 610,Phone,Qualcomm SM6125,1496-1539MB,arm64-v8a;armeabi;armeabi-v7a,3.2,29
TCL,TCL L9S,5007A,Tokyo_Lite,PowerVR Rogue GE8320,Phone,Mediatek MT6762d,1826MB,armeabi;armeabi-v7a,3.2,29
TCL,TCL L10+,5030F,Jakarta,PowerVR Rogue GE8322,Phone,Spreadtrum SC9863A,2770-3778MB,arm64-v8a;armeabi;armeabi-v7a,3.2,29
TCL,Smartphone,5186D,A5A_INFINI,Mali-T860MP2,Phone,Mediatek MT6750,1830-2837MB,arm64-v8a;armeabi;armeabi-v7a,3.2,24
TCL,TCL L9S,5007U,Tokyo_Lite,PowerVR Rogue GE8320,Phone,Mediatek MT6762d,1826MB,armeabi;armeabi-v7a,3.2,29
TCL,TCL 10 SE,T766H_EEA,Oakland,PowerVR Rogue GE8320,Phone,Mediatek MT6762,3826MB,arm64-v8a;armeabi;armeabi-v7a,3.2,29
TCL,TCL 10 5G,T790Y,Seattle,Adreno (TM) 620,Phone,Qualcomm SM7250,1381-1397MB,arm64-v8a;armeabi;armeabi-v7a,3.2,29
TCL,TCL T Pro,5061K,Milan,PowerVR Rogue GE8320,Phone,Mediatek MT6762,3812MB,arm64-v8a;armeabi;armeabi-v7a,3.2,29
TCL,TCL 10L,T770B,T1_LITE,Adreno (TM) 610,Phone,Qualcomm SM6125,1496-1539MB,arm64-v8a;armeabi;armeabi-v7a,3.2,29
TCL,TCL TAB 8 4G,9032X,Apollo_8_4G,PowerVR Rogue GE8300,Phone,Mediatek MT8766B,1835MB,armeabi;armeabi-v7a,3.2,29
TCL,TCL L10+,5030F_EEA,Jakarta,PowerVR Rogue GE8322,Phone,Spreadtrum SC9863A,2770-3778MB,arm64-v8a;armeabi;armeabi-v7a,3.2,29
TCL,TCL L9S,5007U_RU,Tokyo_Lite,PowerVR Rogue GE8320,Phone,Mediatek MT6762d,1826MB,armeabi;armeabi-v7a,3.2,29
Teclast,P10_HD_EEA,P10_HD_EEA,P10_HD_EEA,PowerVR Rogue GE8322,Tablet,Spreadtrum SC9863A,2824MB,arm64-v8a;armeabi;armeabi-v7a,3.2,28
Teclast,P10_HD_EEA,P10 HD_EEA,P10_HD_EEA,PowerVR Rogue GE8322,Tablet,Spreadtrum SC9863A,2824MB,arm64-v8a;armeabi;armeabi-v7a,3.2,28
Teclast,P10_HD_ROW,P10_HD_ROW,P10_HD_ROW,PowerVR Rogue GE8322,Tablet,Spreadtrum SC9863A,2824MB,arm64-v8a;armeabi;armeabi-v7a,3.2,28
Teclast,T30_ROW,T30_EEA,T30,Mali-G72 MP3MP3,Tablet,Mediatek MT8788A,3775-3779MB,arm64-v8a;armeabi;armeabi-v7a,3.2,28
Teclast,P10S_EEA,P10S_EEA,P10S_EEA,PowerVR Rogue GE8322,Tablet,Spreadtrum SC9832E,2824MB,arm64-v8a;armeabi;armeabi-v7a,3.2,28
Teclast,T30_ROW,T30_ROW,T30,Mali-G72 MP3MP3,Tablet,Mediatek MT8788A,3775-3779MB,arm64-v8a;armeabi;armeabi-v7a,3.2,28
Teclast,P80X_EEA,P80X_EEA,P80X,PowerVR Rogue GE8322,Tablet,Spreadtrum SC9863A,1819MB,arm64-v8a;armeabi;armeabi-v7a,3.2,28
Tecno,Phantom8S,TECNO AX8,TECNO-AX8,Mali-T880MP2,Phone,Mediatek MT6757CD,1782MB,arm64-v8a;armeabi;armeabi-v7a,3.2,24
Tecno,Phantom6S,Phantom6,Phantom6,Mali-T860MP2,Phone,Mediatek MT6755,2873MB,arm64-v8a;armeabi;armeabi-v7a,3,23
Tecno,Phantom8S,TECNO AX8S,TECNO-AX8,Mali-T880MP2,Phone,Mediatek MT6757CD,1782MB,arm64-v8a;armeabi;armeabi-v7a,3.2,24
Tecno,Phantom6 plus,Phantom6-Plus,Phantom6-Plus,Mali-T880MP4,Phone,Mediatek MT6797M,3844-3845MB,arm64-v8a;armeabi;armeabi-v7a,3.0;3.2,23;25
